
"lakeid","sampledate","avsnow","totice","whiteice","blueice"
"CB","2006-03-27",2.2,42.0,37.0,5.0
"CB","1989-03-28",,43.0,21.4,21.6
"CB","1990-03-28",0.0,30.0,17.0,13.0
"CB","2013-03-28",9.5,59.0,29.0,30.0
"CB","1999-03-29",0.0,40.0,27.0,13.0
"CB","1994-03-30",13.4,32.0,10.5,21.5
"CB","2005-03-31",1.8,39.0,12.0,27.0
"CB","2014-03-31",10.3,55.0,39.0,16.0
"CB","2003-04-01",6.7,31.0,29.0,2.0
"CB","2001-04-02",4.9,44.0,37.0,7.0
"CB","2002-04-02",7.0,52.0,45.0,7.0
"CB","1982-04-07",5.9,41.5,32.0,9.5
"CB","2004-04-06",0.0,30.0,13.0,17.0
"CB","1996-04-08",13.8,64.0,54.0,10.0
"CB","1984-04-09",0.0,31.0,20.0,11.0
"CB","1997-04-10",0.0,39.0,39.0,0.0
"CB","1985-11-12",0.0,3.0,0.0,3.0
"CB","1983-11-16",,3.0,,
"CB","1982-12-01",0.0,11.0,0.0,11.0
"CR","1984-01-05",13.8,22.8,3.1,19.7
"CR","1993-01-07",11.5,34.5,5.5,29.0
"CR","2006-01-09",20.2,25.0,1.0,24.0
"CR","1985-01-10",8.0,35.0,6.0,29.0
"CR","1994-01-12",20.1,20.0,0.0,20.0
"CR","2011-01-12",11.5,36.0,6.0,30.0
"CR","1992-01-13",12.9,30.0,7.0,23.0
"CR","1995-01-13",1.7,32.5,1.0,31.5
"CR","2004-01-13",6.3,40.0,8.0,32.0
"CR","2005-01-13",4.6,34.0,2.0,32.0
"CR","2012-01-13",14.1,30.0,2.0,28.0
"CR","1983-01-14",27.6,31.0,3.0,28.0
"CR","1987-01-14",6.1,27.0,3.0,24.0
"CR","1991-01-14",11.7,36.0,3.0,33.0
"CR","1998-01-14",15.4,28.0,4.0,24.0
"CR","2003-01-14",0.4,42.0,0.0,42.0
"CR","1986-01-15",16.7,28.0,8.0,20.0
"CR","1990-01-15",20.1,30.0,3.0,27.0
"CR","2002-01-15",3.7,19.0,0.0,19.0
"CR","2010-01-15",17.4,15.0,6.0,9.0
"CR","2013-01-16",0.0,23.0,2.0,21.0
"CR","2015-01-16",28.5,22.0,8.0,14.0
"CR","2000-01-17",17.8,30.0,1.0,29.0
"CR","1989-01-18",24.7,37.5,8.0,29.5
"CR","2017-01-18",15.4,28.0,7.0,21.0
"CR","1988-01-19",3.8,35.0,29.5,5.5
"CR","1999-01-19",22.0,29.0,0.0,29.0
"CR","2001-01-19",25.3,19.0,0.0,19.0
"CR","2007-01-19",7.8,28.0,1.0,27.0
"CR","2009-01-21",17.2,43.0,10.0,33.0
"CR","1982-01-22",7.7,49.3,10.0,39.3
"CR","1996-01-23",23.3,34.0,6.0,28.0
"CR","1997-01-23",5.3,43.0,27.0,16.0
"CR","2008-01-29",15.2,31.0,10.0,21.0
"CR","2016-01-29",13.8,21.0,4.0,17.0
"CR","2014-02-04",34.6,35.0,7.0,28.0
"CR","1995-02-13",8.7,45.0,2.0,43.0
"CR","2011-02-14",16.1,39.0,9.0,30.0
"CR","1998-02-16",4.5,40.0,17.0,23.0
"CR","2005-02-16",5.7,49.0,7.0,42.0
"CR","2006-02-16",11.5,42.0,21.0,21.0
"CR","2017-02-16",9.8,40.0,12.0,28.0
"CR","1997-02-18",21.8,38.0,27.0,11.0
"CR","1990-02-19",12.0,49.0,19.0,30.0
"CR","1996-02-19",13.3,57.0,36.0,21.0
"CR","1989-02-20",14.2,43.3,7.0,36.3
"CR","2001-02-20",11.3,37.0,16.0,21.0
"CR","1983-02-21",14.6,38.5,8.0,30.5
"CR","1991-02-21",9.2,45.0,4.0,41.0
"CR","1994-02-21",0.0,39.0,10.0,29.0
"CR","2000-02-21",27.3,37.0,9.0,28.0
"CR","1999-02-22",8.0,42.0,13.0,29.0
"CR","2007-02-22",4.6,42.0,3.0,39.0
"CR","1993-02-23",12.6,49.0,14.5,34.5
"CR","2010-02-23",12.0,39.0,19.0,20.0
"CR","1992-02-24",25.1,36.0,7.0,29.0
"CR","2004-02-24",46.6,42.0,7.0,35.0
"CR","2012-02-24",12.7,41.0,10.0,31.0
"CR","1987-02-25",16.6,31.0,4.0,27.0
"CR","2009-02-25",4.7,54.0,14.0,40.0
"CR","2016-02-25",2.4,35.0,15.0,20.0
"CR","2003-02-26",9.2,61.0,0.0,61.0
"CR","2013-02-26",25.0,41.0,10.0,31.0
"CR","2002-02-27",18.4,33.0,0.0,33.0
"CR","2015-02-27",9.4,37.0,20.0,17.0
"CR","1985-02-28",13.6,48.0,4.0,44.0
"CR","1982-03-01",11.6,59.8,12.9,46.9
"CR","1984-02-29",0.8,45.0,13.0,32.0
"CR","1988-03-02",9.4,55.0,47.0,8.0
"CR","2008-03-04",21.1,50.0,13.0,37.0
"CR","2014-03-13",0.9,73.0,43.0,30.0
"CR","1998-03-18",9.9,38.0,12.0,26.0
"CR","1999-03-19",3.0,50.0,12.0,38.0
"CR","2011-03-21",1.7,51.0,8.0,43.0
"CR","1995-03-23",0.6,32.0,32.0,0.0
"CR","2017-03-23",1.5,39.0,4.0,35.0
"CR","1993-03-24",4.8,58.0,18.0,40.0
"CR","1987-03-25",0.0,18.0,18.0,0.0
"CR","2009-03-25",0.0,44.0,4.0,40.0
"CR","1991-03-26",0.0,42.0,16.0,26.0
"CR","2013-03-26",11.2,61.0,31.0,30.0
"CR","2015-03-26",7.0,38.0,9.0,29.0
"CR","1992-03-26",1.7,47.0,14.0,33.0
"CR","1985-03-28",0.0,48.0,5.0,43.0
"CR","2014-03-28",19.8,62.0,30.0,32.0
"CR","1989-03-29",,49.5,9.0,40.5
"CR","1990-03-29",0.0,31.0,7.0,24.0
"CR","2007-03-29",0.0,24.0,0.0,24.0
"CR","1983-03-30",12.3,39.0,7.0,32.0
"CR","2006-03-30",0.0,45.0,26.0,19.0
"CR","1997-03-31",1.2,55.0,37.0,18.0
"CR","2008-03-31",12.9,54.0,17.0,37.0
"CR","1986-04-02",0.0,28.0,5.0,23.0
"CR","2004-04-01",1.6,43.0,10.0,33.0
"CR","2001-04-04",0.7,47.0,22.0,25.0
"CR","2003-04-04",8.3,56.0,8.0,48.0
"CR","1988-04-05",0.0,48.0,4.0,44.0
"CR","1994-04-06",3.1,41.0,6.0,35.0
"CR","2005-04-06",0.0,41.0,0.0,41.0
"CR","1982-04-08",4.6,67.9,13.1,54.8
"CR","1985-04-11",0.0,53.0,53.0,
"CR","1996-04-10",19.7,64.0,36.0,28.0
"CR","1984-04-12",0.0,38.0,38.0,0.0
"CR","2002-04-15",0.0,40.0,12.0,28.0
"ME","1997-01-14",4.0,31.0,,
"ME","2001-01-17",5.4,25.0,10.0,15.0
"ME","2011-01-19",11.0,30.0,0.0,30.0
"ME","2003-01-21",0.0,25.0,0.0,25.0
"ME","2009-01-21",8.0,40.0,8.0,32.0
"ME","2000-01-24",1.0,17.0,,
"ME","1999-01-25",3.0,30.0,,
"ME","2016-01-27",5.2,27.0,1.0,26.0
"ME","2005-01-31",,25.0,0.0,25.0
"ME","2010-02-01",0.0,35.0,0.0,35.0
"ME","2004-02-03",5.0,64.0,,64.0
"ME","2014-02-03",9.8,57.1,9.4,47.7
"ME","1996-02-06",12.0,46.0,,
"ME","1998-02-06",2.0,,,
"ME","2017-02-06",2.0,28.0,3.0,25.0
"ME","2015-02-11",6.8,38.0,0.0,38.0
"ME","2013-02-12",0.0,37.0,7.0,30.0
"ME","2008-02-13",18.0,32.0,2.0,30.0
"ME","1997-02-17",5.0,45.0,,
"ME","2007-02-19",3.6,45.0,0.0,45.0
"ME","1999-02-22",0.0,25.0,,
"ME","2012-02-22",0.0,18.0,1.0,17.0
"ME","2000-02-28",0.0,16.0,,
"ME","2006-03-06",15.0,25.0,10.0,15.0
"ME","2001-03-07",0.0,50.0,10.0,40.0
"MO","1997-01-14",4.0,30.0,,
"MO","2001-01-15",10.0,27.0,11.0,16.0
"MO","2000-01-25",3.0,19.0,,
"MO","2011-01-26",12.6,32.0,0.0,32.0
"MO","1999-01-27",0.0,26.0,,
"MO","2005-02-03",2.2,40.0,15.0,25.0
"MO","2010-02-03",8.0,33.0,0.0,33.0
"MO","2016-02-04",1.0,29.0,1.0,28.0
"MO","2009-02-05",6.0,44.0,4.0,40.0
"MO","2013-02-05",2.0,29.0,3.0,26.0
"MO","1996-02-06",13.0,38.0,,
"MO","2003-02-13",2.5,40.0,0.0,40.0
"MO","2017-02-13",0.0,38.0,4.0,34.0
"MO","1997-02-17",35.0,42.0,,
"MO","2004-02-17",9.8,32.5,12.5,20.0
"MO","1999-02-23",0.0,19.0,,
"MO","2007-02-26",15.0,39.0,1.0,38.0
"MO","2008-03-03",0.0,50.0,12.0,38.0
"MO","2015-03-06",4.0,45.0,0.0,45.0
"MO","2014-03-13",0.0,65.0,9.0,56.0
"SP","1984-01-06",2.7,36.2,11.8,24.4
"SP","1995-01-09",2.1,30.0,2.0,28.0
"SP","1985-01-11",8.8,28.7,3.0,25.7
"SP","1989-01-12",18.3,33.0,0.0,33.0
"SP","1994-01-12",6.8,30.0,10.0,20.0
"SP","1998-01-12",17.5,26.0,0.0,26.0
"SP","2004-01-12",10.0,37.0,8.0,29.0
"SP","2010-01-12",5.7,32.0,17.0,15.0
"SP","2012-01-12",9.0,29.0,1.0,28.0
"SP","1983-01-13",24.0,27.0,1.0,26.0
"SP","1993-01-13",19.0,36.5,6.0,30.5
